"lat","long","Freq"
-90.5901356,37.6427656,2
-80.0882422,26.510843,1
12.3634475,51.3383504,1
11.9744057,51.4697872,1
2.1523914,41.378633,1
-122.6432245,48.2931559,1
-121.2950097,51.6439705,1
16.3953555,48.1941134,1
-157.910487,21.349597,1
13.3304798,52.4837296,1
-86.8455092,36.0766425,1
-81.534861,41.527203,1
-96.4140153,42.485557,1
145.0135043,-37.689399,1
47.9730812,29.3704371,1
0.5974656,51.3403343,1
-97.0535222,39.8242796,1
-71.1876618,42.3515323,1
-86.189691,41.734227,1
103.8466823,1.3068008,1
-82.535028,27.32313,1
-80.850392,31.9895907,1
10.7123757,53.3770739,1
4.4826212,50.8795024,1
101.975766,4.210484,23
9.9819779,53.5688101,1
16.4401935,43.5081323,1
120.973393,15.4865047,4
149.143948,-35.310639,1
-86.2124879,41.641538,1
-75.9541171,2.3027026,1
10.0746178,54.4699235,1
4.8976789,51.2434976,1
-104.865057,39.6713978,1
9.86965,53.6572633,1
8.1175835,53.2549953,1
-123.9839083,49.2067543,1
4.4954295,51.3133626,1
-116.0541689,34.1355582,1
-74.5105627,40.5885775,1
9.7536133,52.3656943,1
-8.4184224,40.2673428,1
9.4693993,52.3020737,5
9.8974022,52.501154,4
8.822437,52.2074157,1
8.7995372,51.9944229,5
-80.2878794,25.6579955,1
-0.6009204,44.8349598,1
8.6634723,51.951983,1
8.4147863,52.0738784,1
9.3936175,51.3647405,1
8.8709876,51.2774069,2
9.9959057,51.7001785,1
10.6896793,52.4226485,1
10.2834811,51.8288574,1
-90.8675134,32.2170441,1
-0.7644074,38.4475135,1
-91.878176,38.6736393,1
-123.0627592,49.3230014,1
5.5862938,58.9694753,1
6.9512663,51.1191898,8
-85.6399722,42.2770305,1
7.6919889,47.5183198,1
6.3803213,51.2520558,1
-75.208535,39.95208,1
-76.8165932,40.2817117,1
-8.6518083,41.183583,1
7.011142,51.4384291,1
6.9675727,51.4515852,1
7.1393759,51.4050267,1
7.1895576,51.6164977,1
7.0818258,51.5252464,1
7.0460284,51.5829052,1
-64.3500249,45.7610971,1
14.1202468,48.1907046,1
-118.4638415,34.1547041,1
6.5529368,51.6802862,1
6.6544111,51.6005212,1
6.7325141,51.4534764,1
6.6518329,51.3948213,1
6.0098603,51.7864824,3
